Auctioneer,Phone,E-mail,District,Region,Latitude,Longitude,Title of auction,Beginning_on,Beginning_at,Category,Subcategory,Auction_code,Estimated_price,Reserve_price,Link
Voborník Tomáš,498100980,podatelna@exek.cz,Neuvedeno,-,,,"1/2 Pozemku, k.ú.  Kounice nad Sázavou, okr.: Kutná Hora",2021-09-07,07:00,Nemovitosti,Pozemek,195EX229/19,170000,113733,https://www.portaldrazeb.cz/drazba/195ex229-19-xjwgg
Urban Karel,545215006,urad@exekutorurban.cz,Brno-město,Jihomoravský kraj,49.2333707,16.503694},Dražba id. 1/6 chaty s pozemky v Brně-Bystrci,2021-09-07,07:00,Nemovitosti,Rekreační objekt,097EX12/06-296,280000,186667,https://www.portaldrazeb.cz/drazba/097ex12-06-296-jl0k0
Schafferová Jaroslava,608246054,info@exekutorbrnovenkov.cz,Děčín,Ústecký kraj,,,Dražba id. 4232/157127 bytového domu (byt 1+1) v Rumburku (okres Děčín),2021-09-07,07:00,Nemovitosti,Bytový dům,98EX153/18-179,600000,400000,https://www.portaldrazeb.cz/drazba/198ex153-18-179-jl8er
Olma Igor,461530482,svitavy@soudni-exekutori.cz,Plzeň-jih,Plzeňský kraj,49.7114539,13.4877093,"orná půda v obci Tymákov, okr. Plzeň-město",2021-09-07,07:00,Nemovitosti,Pozemek,111EX641/20-52,119000,79334,https://www.portaldrazeb.cz/drazba/111ex641-20-52-kdo9l
Pazderka Stanislav,382210825,exekutor@exekucepisek.cz,Klatovy,Plzeňský kraj,,,"rodinný dům v obci Bukovníku, okres Klatovy",2021-09-07,07:00,Nemovitosti,-,117EX989/20-28,2262000,1508000,https://www.portaldrazeb.cz/drazba/117ex989-20-28-jl8pz
Olma Igor,461530482,svitavy@soudni-exekutori.cz,Karviná,Moravskoslezský kraj,49.8748189,"18.46049},","id. 1/3 orné půdy v obci Dětmarovice, okr. Karviná",2021-09-07,07:30,Nemovitosti,Pozemek,11EX2127/14-88,44000,29334,https://www.portaldrazeb.cz/drazba/111ex2127-14-88-nqo9y
"Douchová Martina,",381251527,exekutor@exekucetabor.cz,Zlín,Zlínský kraj,49.2433203,17.8431663,Soubor podílů na pozemcích Vizovice,2021-09-07,08:00,Nemovitosti,Pozemek,17EX376/10-222,110627,73751,https://www.portaldrazeb.cz/drazba/017ex376-10-222-jl8bw
"Douchová Martina,",381251527,exekutor@exekucetabor.cz,Ústí nad Labem,Ústecký kraj,,,id. 1/3 na bytové jednotce v Ústí nad Labem,2021-09-07,08:00,Nemovitosti,Byt,17EX293/15-400,470667,313778,https://www.portaldrazeb.cz/drazba/017ex293-15-400-53ekz
Peroutka Jan,474335579,info@exekucecv.cz,Znojmo,Jihomoravský kraj,48.9338181,16.0296774,Opakovaná dražba staveb (bez pozemků) v Hlubokých Mašůvkách,2021-09-07,08:00,Nemovitosti,-,35EX605/10-110,80000,40000,https://www.portaldrazeb.cz/drazba/135ex605-10-110-kd08l
Fendrych Jan,222741440,podatelna@exekucni-urad.cz,Praha,Hlavní město Praha,50.1408464,14.4283192,"Dražba RD s pozemkem v Praze, Praha - Čimice, 132 EX 905/95",2021-09-07,08:00,Nemovitosti,Rodinný dům,132EX905/19-95,8517028,5678019,https://www.portaldrazeb.cz/drazba/132ex905-19-95-kdop2
Olma Igor,461530482,svitavy@soudni-exekutori.cz,Svitavy,Pardubický kraj,,,"id. 1/4 rodinného domu v obci Cerekvice nad Loučnou, okr. Svitavy",2021-09-07,08:00,Nemovitosti,Rodinný dům,111DD10/21-4,700000,466667,https://www.portaldrazeb.cz/drazba/111dd10-21-4-2xgjn
Pazderka Stanislav,382210825,exekutor@exekucepisek.cz,Tábor,Jihočeský kraj,,,polovina bytu v Táboře,2021-09-07,08:00,Nemovitosti,Byt,17EX1827/17-47,1300000,866667,https://www.portaldrazeb.cz/drazba/117ex1827-17-47-dlz8j
Urban Karel,545215006,urad@exekutorurban.cz,Benešov,Středočeský kraj,,,"Dražba bytu s pozemkem ve Vlašimi, okres Benešov",2021-09-07,08:00,Nemovitosti,Byt,97EX4725/15-96,1320000,880000,https://www.portaldrazeb.cz/drazba/097ex4725-15-96-lgkmr
Hanák Ondřej,251551860,ondrej.hanak@eupraha5.cz,Blansko,Jihomoravský kraj,,,Dražba spol. podílu 11/36 souboru pozemků k.ú. Doubravice nad Svitavou,2021-09-07,08:00,Nemovitosti,Pozemek,7EX2729/15-113,57500,38333,https://www.portaldrazeb.cz/drazba/147ex2729-15-113-jl8br
"Douchová Martina,",381251527,exekutor@exekucetabor.cz,Zlín,Zlínský kraj,49.2433203,17.8431663,Soubor podílů na pozemcích Vizovice,2021-09-07,08:00,Nemovitosti,Pozemek,17EX376/10-222,110627,73751,https://www.portaldrazeb.cz/drazba/017ex376-10-222-jl8bw
Mika Dalimil,376310088,kancelar@euk.cz,Tachov,Plzeňský kraj,49.6823833,12.7050003,vozidlo,2021-09-07,08:00,Movitosti,-,0EX14483/20-75,9000,3000,https://www.portaldrazeb.cz/drazba/120ex14483-20-75-735jx
Exner Filip,220400372,info@exekutor-exner.cz,Nymburk,Středočeský kraj,50.1571099,15.2147232,Obchodní podíl 100% v obchodní společnosti PEMAX,2021-09-07,08:00,Firmy,-,EX00226/19-461,300000,100000,https://www.portaldrazeb.cz/drazba/151ex00226-19-461-lgoep
Olma Igor,461530482,svitavy@soudni-exekutori.cz,Chrudim,Pardubický kraj,49.7615022,"15.98239},","id. 1/2 zemědělských stavení s pozemky a id. 1/4 zastavěné plochy v obci Dědová, okr. Chrudim",2021-09-07,08:30,Nemovitosti,-,111DD3/20-15,886000,300000,https://www.portaldrazeb.cz/drazba/111dd3-20-15-735dk
"Beneš Jan,",277278800,epodatelna@euprahazapad.cz,Praha,Hlavní město Praha,,,Rodinný dům Ruzyně (Praha 6) - podíl 1/6,2021-09-07,09:00,Nemovitosti,-,191DD3/21-1,2259000,2259000,https://www.portaldrazeb.cz/drazba/191dd3-21-1-53eoj
Suchánek Michal,266032031,suchanek@exekucepraha.cz,Praha,Hlavní město Praha,50.0763558,14.4734914,Dražba pozemků v Brně,2021-09-07,09:00,Nemovitosti,Pozemek,EX00611/20-110,150000,100000,https://www.portaldrazeb.cz/drazba/220ex00611-20-110-nqopy
Prošek Jiří,377464009,info@exekutors.cz,Praha,Hlavní město Praha,50.0763558,14.4734914,"Byt 3+1, Ústí nad Labem, 73,5m2, podíl 1/3",2021-09-07,09:00,Nemovitosti,Byt,EX02114/12-564,470667,313778,https://www.portaldrazeb.cz/drazba/134ex02114-12-564-qb2gr
Olma Igor,461530482,svitavy@soudni-exekutori.cz,Prachatice,Jihočeský kraj,49.0498037,14.1777369,"id. 1/2 zahrady v obci Netolice, okr. Prachatice",2021-09-07,10:00,Nemovitosti,Pozemek,11EX2207/18-71,232000,92800,https://www.portaldrazeb.cz/drazba/111ex2207-18-71-qb2q5
Peške Jaromír,377235155,jpeske@volny.cz,Příbram,Středočeský kraj,,,"Podíl 5/8 na bytové jednotce 3+1 v panelovém domě v ul. Boční 480, Příbram VII s podílem na společných prostorech a pozemcích",2021-09-07,11:00,Nemovitosti,-,064EX10/19-92,1650000,1100000,https://www.portaldrazeb.cz/drazba/064ex10-19-92-45xqx
Bayer Aleš,296325556,info@eup2.cz,Děčín,Ústecký kraj,50.6863157,14.1938242,"Opakovaná dražba 1/3 rodinného domu a lesa, okr. Děčín",2021-09-07,11:00,Nemovitosti,-,2EX4224/10-191,210000,105000,https://www.portaldrazeb.cz/drazba/002ex4224-10-191-53egn
Olma Igor,461530482,svitavy@soudni-exekutori.cz,Opava,Moravskoslezský kraj,,,"nebytový prostor se zahradou v městě Opava, okr. Opava",2021-09-07,11:00,Nemovitosti,Nebytové,11EX6557/20-30,990000,660000,https://www.portaldrazeb.cz/drazba/111ex6557-20-30-nqobm
Kocián Petr,544508311,info@exekutorbrno.cz,Břeclav,Jihomoravský kraj,"48.799919,",,"Podíl 2/8, orná půda Lednice (okres Břeclav)",2021-09-07,11:00,Nemovitosti,Pozemek,137EX989/13-IZ,22000,14667,https://www.portaldrazeb.cz/drazba/137ex989-13-iz-2xgo8
Flajšhansová Vendula,377532479,podatelna@exekutori.com,Ústí nad Orlicí,Pardubický kraj,50.1292746,16.4999647,pozemky - trvalý travní porost v obci Kunvald,2021-09-07,11:00,Nemovitosti,Pozemek,21EX7247/12-69,42000,28000,https://www.portaldrazeb.cz/drazba/121ex7247-12-69-mgzpj
Prošek Jiří,377464009,info@exekutors.cz,Jeseník,Olomoucký kraj,50.3099478,17.1017414,"Rodinný dům, Žulová, podíl 1/4",2021-09-07,11:00,Nemovitosti,Rodinný dům,EX07786/12-731,201000,134000,https://www.portaldrazeb.cz/drazba/134ex07786-12-731-kdejq
Kubis Marcel,583550263,urad@exekucesumperk.cz,Havlíčkův Brod,Kraj Vysočina,49.6254805,15.2782557,"Dražba podílu id. 1/2 na lesních pozemcích v obci Horní Paseka, okres Havlíčkův Brod",2021-09-07,11:30,Nemovitosti,Pozemek,139EX16634/20,63400,42267,https://www.portaldrazeb.cz/drazba/139ex16634-20-w8ebj
Kubis Marcel,583550263,urad@exekucesumperk.cz,Klatovy,Plzeňský kraj,49.4249686,13.1767464,"Dražba podílů id. 1/4 a id. 1/2 pozemků v obci Poleň, okr. Klatovy",2021-09-07,11:30,Nemovitosti,Pozemek,EX09833/12-141,55000,36670,https://www.portaldrazeb.cz/drazba/139ex09833-12-141-rbj7w
Jaroš Petr,469623238,info@exekucejaros.cz,Písek,Jihočeský kraj,49.5465428,14.2299069,"Dražba podílu 1/4 na RD, Zahořany, okr. Písek",2021-09-07,12:00,Nemovitosti,Rodinný dům,129EX6/21-43,520040,346693,https://www.portaldrazeb.cz/drazba/129ex6-21-43-nqoz1
Valenta Jan,775178774,podatelna@exekuce.org,Vsetín,Zlínský kraj,,,Podíl o velikosti 1/12 rodinného domu s pozemkem v obci Valašské Meziříčí,2021-09-08,06:30,Nemovitosti,Rodinný dům,6EX2715/06-421,270000,180000,https://www.portaldrazeb.cz/drazba/196ex2715-06-421-dqpxv
Škorpil Jan,608096010,podatelna@euceb.cz,Praha,Hlavní město Praha,50.0763558,14.4734914,"Pozemek o velikosti  686715 m2, Tachov",2021-09-08,07:00,Nemovitosti,Pozemek,13DD00104/21-1,11500000,11500000,https://www.portaldrazeb.cz/drazba/213dd00104-21-1-xjwyq
Dolanský Pavel,311622657,podatelna@exekuceberoun.cz,Prachatice,Jihočeský kraj,50.0763558,14.4734914,"Pozemek o velikosti  15891 m2, Úbislav",2021-09-08,07:00,Nemovitosti,Pozemek,5EX05590/14-84,380000,253300,https://www.portaldrazeb.cz/drazba/015ex05590-14-84-xjkjb
Pazderka Stanislav,382210825,exekutor@exekucepisek.cz,Tábor,Jihočeský kraj,,,podíl na domu a zahradě v Bechyni,2021-09-08,07:00,Nemovitosti,Rodinný dům,17EX3313/13-62,756000,504000,https://www.portaldrazeb.cz/drazba/117ex3313-13-62-735kv
Urban Karel,545215006,urad@exekutorurban.cz,Písek,Jihočeský kraj,"49.447276,",,"Dražba id 5/8 pozemků v obci Přeštěnice, okres Písek",2021-09-08,07:00,Nemovitosti,Pozemek,7EX6643/11-161,52112,34741,https://www.portaldrazeb.cz/drazba/097ex6643-11-161-w8e9x
Tintěra Pavel,313251251,drazby@eurakovnik.cz,Most,Ústecký kraj,50.5924788,13.5678273,Bytová jednotka 4+1 v Litvínově (Janově),2021-09-08,08:00,Nemovitosti,-,221EX252/20-21,22450,14967,https://www.portaldrazeb.cz/drazba/221ex252-20-21-rbzrr
Král Jiří,596126600,podatelna@eurad-ova.cz,Rychnov nad Kněžnou,Královéhradecký kraj,50.1738978,16.2639539,"Pozemek - Rychnov nad Kněžnou, podíl 1/3",2021-09-08,08:00,Nemovitosti,-,043EX754/20,94100,62733,https://www.portaldrazeb.cz/drazba/043ex754-20-jl0pz
Usnul Milan,246035760,info@ep9.cz,Příbram,Středočeský kraj,50.0763558,14.4734914,Id. podíl 1/10 bytu v obci Příbram,2021-09-08,08:00,Nemovitosti,Byt,EX01132/08-123,163000,108700,https://www.portaldrazeb.cz/drazba/098ex01132-08-123-xjkvx
Fučíková Pavla,596125928,podatelna@exekuce-ova.cz,Praha,Hlavní město Praha,50.0763558,14.4734914,"Pozemek o velikosti  77 m2, Vojtíškov",2021-09-08,08:00,Nemovitosti,Pozemek,EX00665/20-162,35000,23334,https://www.portaldrazeb.cz/drazba/024ex00665-20-162-95lkg
Dolanský Pavel,311622657,podatelna@exekuceberoun.cz,Hradec Králové,Královéhradecký kraj,50.0763558,14.4734914,"Rodinný dům, Nechanice",2021-09-08,08:00,Nemovitosti,Rodinný dům,5EX00385/20-40,3600000,2400000,https://www.portaldrazeb.cz/drazba/015ex00385-20-40-53yjn
Vedral Jan,211150206,info@eupraha3.cz,Praha,Hlavní město Praha,50.0751947,14.4397647,Prodej movitých věcí - vybavení papírnictví,2021-09-08,08:00,Movitosti,-,EX00022/21-045,30000,500,https://www.portaldrazeb.cz/drazba/140ex00022-21-045-ek7yb
Ráček Zdeněk,564565042,podatelna@exekutorracek.cz,Příbram,Středočeský kraj,,,Rezidence Nalžovice,2021-09-08,08:00,Nemovitosti,Rodinný dům,79DD10007/21-2,13268000,8845333,https://www.portaldrazeb.cz/drazba/179dd10007-21-2-yo50d
Usnul Milan,246035760,info@ep9.cz,Sokolov,Karlovarský kraj,50.0763558,14.4734914,Id. podíl 15/16 rod. domu s vedlejší stavbou a pozemky,2021-09-08,08:00,Nemovitosti,Rodinný dům,EX01469/20-098,437000,291400,https://www.portaldrazeb.cz/drazba/098ex01469-20-098-aq5ll
Pazderka Stanislav,382210825,exekutor@exekucepisek.cz,Rakovník,Středočeský kraj,49.9801164,13.8820586,různé podíly na pozemcích v okrese Rakovník,2021-09-08,08:00,Nemovitosti,Pozemek,7EX1159/08-168,1443,962,https://www.portaldrazeb.cz/drazba/117ex1159-08-168-yo5rq
Souček Kamil,491422020,podatelna@soucek-exekutor.cz,Neuvedeno,-,,,"Škoda Octavia kombi, r.v. 2000",2021-09-08,08:00,Movitosti,Auto-moto,083DD4/21-11,30000,10000,https://www.portaldrazeb.cz/drazba/083dd4-21-11-aqp5n
Dvořáčková Marcela,495523205,judr.dvorackova@seznam.cz,Náchod,Královéhradecký kraj,50.3932008,16.0836356,Rodinný dům č.p. 5 na pozemku p.č. 33 v obci Provodov- Šonov,2021-09-08,08:00,Nemovitosti,Rodinný dům,019EX41/21-76,5170000,3446666,https://www.portaldrazeb.cz/drazba/019ex41-21-76-ek7zr
Usnul Milan,246035760,info@ep9.cz,Prachatice,Jihočeský kraj,50.0763558,14.4734914,Rodinný dům v obci Volary,2021-09-08,08:00,Nemovitosti,Rodinný dům,EX00334/19-077,2660000,1773400,https://www.portaldrazeb.cz/drazba/098ex00334-19-077-73538
Peroutka Jan,474335579,info@exekucecv.cz,České Budějovice,Jihočeský kraj,48.7919619,14.6075542,Opakovaná dražba zemědělské stavby využívané jako výrobní a skladovací prostory,2021-09-08,08:00,Nemovitosti,-,5EX4388/11-358,2790000,1395000,https://www.portaldrazeb.cz/drazba/135ex4388-11-358-rbr2w
Smola Erik,608887350,info@exe-strakonice.cz,Trutnov,Královéhradecký kraj,50.5606728,15.9275206,Bytová jednotka 2+1 vTrutnově,2021-09-08,08:00,Nemovitosti,Byt,r212DD12/21,1500000,990000,https://www.portaldrazeb.cz/drazba/212dd12-21-xjwar
Dolanský Pavel,311622657,podatelna@exekuceberoun.cz,Hradec Králové,Královéhradecký kraj,50.0763558,14.4734914,"Rodinný dům, Nechanice",2021-09-08,08:00,Nemovitosti,Rodinný dům,5EX00385/20-40,3600000,2400000,https://www.portaldrazeb.cz/drazba/015ex00385-20-40-53yjn
Fučíková Pavla,596125928,podatelna@exekuce-ova.cz,Praha,Hlavní město Praha,50.0763558,14.4734914,"Rodinný dům, Horní Studenec, podíl 1/2",2021-09-08,08:30,Nemovitosti,Rodinný dům,EX00553/12-343,190000,126667,https://www.portaldrazeb.cz/drazba/024ex00553-12-343-mgo4p
Pajer Pavel,373700840,podatelna@exekutortachov.cz,Neuvedeno,-,,,Osobní auto,2021-09-08,08:30,Movitosti,Auto-moto,X00195/20-082A,120000,48400,https://www.portaldrazeb.cz/drazba/141ex00195-20-082a-yo5k2
Pajer Pavel,373700840,podatelna@exekutortachov.cz,Neuvedeno,-,,,Nákladní a užitkové vozidlo,2021-09-08,08:30,Movitosti,Auto-moto,X00195/20-082B,150000,60500,https://www.portaldrazeb.cz/drazba/141ex00195-20-082b-a9mnk
Pajer Pavel,373700840,podatelna@exekutortachov.cz,Neuvedeno,-,,,MITSUBISHI,2021-09-08,08:30,Movitosti,Auto-moto,X00195/20-082C,120000,48400,https://www.portaldrazeb.cz/drazba/141ex00195-20-082c-aqpk8
Mika Dalimil,376310088,kancelar@euk.cz,Semily,Liberecký kraj,50.6001871,15.3685449,"pozemky v k.ú. Benešov u Semil, okres Semily",2021-09-08,09:00,Nemovitosti,Pozemek,EX26108/11-260,495000,247500,https://www.portaldrazeb.cz/drazba/120ex26108-11-260-nq7zn
Mika Dalimil,376310088,kancelar@euk.cz,Pardubice,Pardubický kraj,50.0264895,15.7739836,byt 1+1 v Pardubicích \u2013 část Zelené Předměstí,2021-09-08,09:00,Nemovitosti,Byt,EX31683/14-352,1887000,1258000,https://www.portaldrazeb.cz/drazba/120ex31683-14-352-w8ayy
Mika Dalimil,376310088,kancelar@euk.cz,Pardubice,Pardubický kraj,50.0264895,15.7739836,byt 1+1 v Pardubicích \u2013 část Zelené Předměstí,2021-09-08,09:00,Nemovitosti,Byt,EX31683/14-353,1854000,1236000,https://www.portaldrazeb.cz/drazba/120ex31683-14-353-95xqe
Mika Dalimil,376310088,kancelar@euk.cz,Pardubice,Pardubický kraj,50.0264895,15.7739836,mezonetový byt v Pardubicích \u2013 část Zelené Předměstí,2021-09-08,09:00,Nemovitosti,Byt,EX31683/14-354,3363000,2242000,https://www.portaldrazeb.cz/drazba/120ex31683-14-354-45ayg
Mika Dalimil,376310088,kancelar@euk.cz,Liberec,Liberecký kraj,,,podíl ve výši 1/4 rodinného domu v obci Heřmanice v Podještědí,2021-09-08,09:00,Nemovitosti,Rodinný dům,120DD5/21-12,468500,312300,https://www.portaldrazeb.cz/drazba/120dd5-21-12-kdoeo
Mika Dalimil,376310088,kancelar@euk.cz,Vsetín,Zlínský kraj,49.4781478,17.9775526,"podíl 1/6 rodinného domu s pozemky v Krásně nad Bečvou, okres Vsetín",2021-09-08,09:00,Nemovitosti,Rodinný dům,20EX344/15-217,225000,150000,https://www.portaldrazeb.cz/drazba/120ex344-15-217-a9eea
Mika Dalimil,376310088,kancelar@euk.cz,Plzeň-jih,Plzeňský kraj,,,"podíl o velikosti 1/6 rodinného domu s pozemky a příslušenstvím v Blovicích, okres Plzeň-jih",2021-09-08,09:00,Nemovitosti,Rodinný dům,120DD6/21-6,475000,475000,https://www.portaldrazeb.cz/drazba/120dd6-21-6-jl8bk
Dolanský Pavel,311622657,podatelna@exekuceberoun.cz,Litoměřice,Ústecký kraj,50.0763558,14.4734914,"Pozemek o velikosti  4319 m2, Mastířovice",2021-09-08,09:00,Nemovitosti,Pozemek,5EX01345/14-90,80000,53300,https://www.portaldrazeb.cz/drazba/015ex01345-14-90-xjklb
Prošek Jiří,377464009,info@exekutors.cz,Liberec,Liberecký kraj,50.9647543,15.1164693,"Rodinný dům, Bulovka, podíl 4/49",2021-09-08,09:00,Nemovitosti,Rodinný dům,X08607/14-1211,42000,28000,https://www.portaldrazeb.cz/drazba/134ex08607-14-1211-pdoyp
Mika Dalimil,376310088,kancelar@euk.cz,Tachov,Plzeňský kraj,49.7576057,13.0026886,"1/33 bytu 1+1 v obci Stříbro, okres Tachov",2021-09-08,09:00,Nemovitosti,Byt,EX33893/15-156,25500,17000,https://www.portaldrazeb.cz/drazba/120ex33893-15-156-1l8qy
Lavička Josef,354415211,podatelna@execheb.cz,Sokolov,Karlovarský kraj,,,"Dražba bytu 2+1, okres Sokolov",2021-09-08,09:00,Nemovitosti,Byt,DD00011/21-002,54000,36000,https://www.portaldrazeb.cz/drazba/176dd00011-21-002-yo5ry
Souček Kamil,491422020,podatelna@soucek-exekutor.cz,Neuvedeno,-,,,"osobní automobil Alfa Romeo 147, r.v. 2005",2021-09-08,09:00,Movitosti,Auto-moto,083DD4/21-12,36000,12000,https://www.portaldrazeb.cz/drazba/083dd4-21-12-qb2ro
Pazderka Stanislav,382210825,exekutor@exekucepisek.cz,Benešov,Středočeský kraj,,,"třetina bytu v Daměnicích, okres Benešov",2021-09-08,09:00,Nemovitosti,Byt,117EX546/07-91,192000,128000,https://www.portaldrazeb.cz/drazba/117ex546-07-91-lgokb
Mika Dalimil,376310088,kancelar@euk.cz,Tachov,Plzeňský kraj,49.8762573,12.9078436,"1/3 rodinného domu s pozemky a příslušenstvím v obci Domaslav, část obce Lestkov, okres Tachov",2021-09-08,09:00,Nemovitosti,Rodinný dům,0EX8108/09-496,306000,153000,https://www.portaldrazeb.cz/drazba/120ex8108-09-496-w8arr
Mika Dalimil,376310088,kancelar@euk.cz,Český Krumlov,Jihočeský kraj,48.7359838,14.440747},"byt 2+1 v části obce Omlenička, obec Omlenice, okres Český Krumlov",2021-09-08,09:00,Nemovitosti,Byt,EX23477/19-153,960000,640000,https://www.portaldrazeb.cz/drazba/120ex23477-19-153-73kwr
Dolanský Pavel,311622657,podatelna@exekuceberoun.cz,Praha,Hlavní město Praha,,,"Nebytový prostor, Krč",2021-09-08,10:00,Nemovitosti,Garáž,EX01423/09-205,2200,1460,https://www.portaldrazeb.cz/drazba/015ex01423-09-205-qbrnr
Jícha Lukáš,588003999,urad@eujicha.cz,Vsetín,Zlínský kraj,49.3387089,17.9961903,"Podíl na pozemcích v k.ú. Vsetín, okr. Vsetín",2021-09-08,11:00,Nemovitosti,Pozemek,EX65455/14-295,121000,60500,https://www.portaldrazeb.cz/drazba/203ex65455-14-295-yo5k3
Jícha Lukáš,588003999,urad@eujicha.cz,Vsetín,Zlínský kraj,49.3315268,17.9873509,"Podíl na družstevním bytě 3+1 ve Vsetíně, okr. Vsetín",2021-09-08,11:00,Firmy,-,203EX3633/09,565000,376667,https://www.portaldrazeb.cz/drazba/203ex3633-09-rbjdg
Jícha Lukáš,588003999,urad@eujicha.cz,Mělník,Středočeský kraj,"50.360546,",,"Podíl na chatě v obci Cítov, okr. Mělník",2021-09-08,11:00,Nemovitosti,Rekreační objekt,203EX796/18,150000,100000,https://www.portaldrazeb.cz/drazba/203ex796-18-a9mvw
Jícha Lukáš,588003999,urad@eujicha.cz,Hodonín,Jihomoravský kraj,"48.859638,",,"Podíl na pozemcích v k.ú. Kuželov, okr. Hodonín",2021-09-08,11:00,Nemovitosti,Pozemek,203EX5406/21,8000,5333,https://www.portaldrazeb.cz/drazba/203ex5406-21-qb2od
Koncz David,355318111,podatelna@eucheb.cz,Cheb,Karlovarský kraj,,,Opakovaná Dražba podílu 3125/10000 na bytovém domě v obci Aš okres Cheb,2021-09-08,11:00,Nemovitosti,Bytový dům,EX16820/11-194,850000,425000,https://www.portaldrazeb.cz/drazba/074ex16820-11-194-2xg3z
Jícha Lukáš,588003999,urad@eujicha.cz,Český Krumlov,Jihočeský kraj,48.7430215,"14.48876},","Byt 2+1 v obci Kaplice, okr. Český Krumlov",2021-09-08,11:00,Nemovitosti,Byt,203EX4319/21,1360000,906667,https://www.portaldrazeb.cz/drazba/203ex4319-21-kdo7r
Jícha Lukáš,588003999,urad@eujicha.cz,Frýdek-Místek,Moravskoslezský kraj,49.6885648,18.3490602,"Byt 3+1 v obci Frýdek-Místek, okr. Frýdek-Místek",2021-09-08,11:00,Nemovitosti,Byt,203EX4643/21,1994370,1329580,https://www.portaldrazeb.cz/drazba/203ex4643-21-pdo88
Jícha Lukáš,588003999,urad@eujicha.cz,Česká Lípa,Liberecký kraj,50.7028011,14.8010174,"Pozemky v k.ú. Stráž pod Ralskem, okr. Česká Lípa",2021-09-08,11:00,Nemovitosti,Pozemek,203EX2407/21,1210100,806667,https://www.portaldrazeb.cz/drazba/203ex2407-21-95lmj
